MSOA,White%,Mixed%,Asian%,Black%,Other%
E02005050,0.9732,0.0056,0.0185,0.0018,0.001
E02005051,0.9705,0.0105,0.0124,0.0046,0.002
E02005052,0.8645,0.0132,0.1076,0.006,0.0088
E02005053,0.9462,0.0165,0.0231,0.0101,0.004
E02005054,0.9822,0.0053,0.0097,0.0015,0.0014
E02005055,0.7392,0.0278,0.1508,0.0513,0.0309
E02005056,0.6618,0.0313,0.212,0.0356,0.0592
E02005057,0.7311,0.0225,0.1665,0.0519,0.028
E02005058,0.7859,0.0248,0.1463,0.0259,0.0171
E02005059,0.8232,0.0201,0.1225,0.0121,0.0221
E02005060,0.84,0.0144,0.1059,0.0268,0.0129
E02005061,0.8608,0.0219,0.0566,0.0511,0.0097
E02005062,0.8891,0.0168,0.06,0.0269,0.0072
E02005063,0.8364,0.0168,0.1078,0.0263,0.0127
E02005064,0.9215,0.0124,0.0501,0.007,0.009
E02005065,0.8981,0.0263,0.0346,0.0343,0.0066
E02005066,0.9593,0.0114,0.0248,0.0023,0.0022
E02005067,0.9642,0.0092,0.0173,0.0036,0.0058
E02005068,0.9605,0.0131,0.0145,0.0102,0.0017
E02005069,0.9409,0.0159,0.0322,0.0079,0.003
E02005070,0.946,0.0104,0.0341,0.0042,0.0054
E02005071,0.84,0.0238,0.1041,0.0235,0.0086
E02005072,0.9402,0.0157,0.0362,0.0055,0.0024
E02005073,0.9043,0.0244,0.045,0.0203,0.006
E02005074,0.9613,0.0142,0.0175,0.0054,0.0016
E02005075,0.8839,0.021,0.0769,0.0122,0.0059
E02005076,0.925,0.021,0.038,0.0127,0.0033
E02005077,0.9305,0.0163,0.0398,0.01,0.0033
E02005078,0.9787,0.0085,0.0098,0.0023,0.0008
E02005079,0.9639,0.0104,0.0193,0.0058,0.0005
E02005080,0.9484,0.0171,0.0194,0.0123,0.0028
E02005081,0.9788,0.0097,0.0073,0.0033,0.0009
E02005082,0.971,0.0116,0.0116,0.0046,0.0012
E02005083,0.9777,0.009,0.0089,0.003,0.0013
E02005084,0.968,0.0124,0.0118,0.0057,0.002
